Frame,Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z,K
1,4.99923849105835,0.08726203441619873,2.0,68.19859874930941,-1.3346456269854305e-06,91.00001050085973,"[[824.2432250976562, 0.0, 0.0], [0.0, 824.2432250976562, 0.0], [300.0, 300.0, 1.0]]"
2,4.996953964233398,0.17449748516082764,2.0,68.19859191912023,6.697211247447134e-06,91.99999800667379,"[[824.2432250976562, 0.0, 0.0], [0.0, 824.2432250976562, 0.0], [300.0, 300.0, 1.0]]"
3,4.993147850036621,0.2616797685623169,2.0,68.19859191912023,6.350988990597241e-06,92.99999917286618,"[[824.2432250976562, 0.0, 0.0], [0.0, 824.2432250976562, 0.0], [300.0, 300.0, 1.0]]"
4,4.987820148468018,0.34878236055374146,2.0,68.19859191912023,3.541889611048977e-07,94.00000716924775,"[[824.2432250976562, 0.0, 0.0], [0.0, 824.2432250976562, 0.0], [300.0, 300.0, 1.0]]"
5,4.980973720550537,0.4357787072658539,2.0,68.19859191912023,5.839724341771588e-06,95.00000833544016,"[[824.2432250976562, 0.0, 0.0], [0.0, 824.2432250976562, 0.0], [300.0, 300.0, 1.0]]"
6,4.972609519958496,0.5226423144340515,2.0,68.19860557949858,-8.9838210119213e-06,96.00001633182171,"[[824.2432250976562, 0.0, 0.0], [0.0, 824.2432250976562, 0.0], [300.0, 300.0, 1.0]]"
7,4.962730884552002,0.6093466877937317,2.0,68.19859191912023,1.0200335443816435e-05,97.00001066782494,"[[824.2432250976562, 0.0, 0.0], [0.0, 824.2432250976562, 0.0], [300.0, 300.0, 1.0]]"
8,4.951340198516846,0.6958655118942261,2.0,68.19859191912023,2.3531966359522877e-06,97.999998173639,"[[824.2432250976562, 0.0, 0.0], [0.0, 824.2432250976562, 0.0], [300.0, 300.0, 1.0]]"
9,4.938441753387451,0.7821723222732544,2.0,68.19859874930941,-4.559914327271583e-06,99.00001300020973,"[[824.2432250976562, 0.0, 0.0], [0.0, 824.2432250976562, 0.0], [300.0, 300.0, 1.0]]"
10,4.924038887023926,0.8682408928871155,2.0,68.19859191912023,1.6542979880262513e-06,100.0000005060238,"[[824.2432250976562, 0.0, 0.0], [0.0, 824.2432250976562, 0.0], [300.0, 300.0, 1.0]]"
11,4.908135890960693,0.9540449976921082,2.0,68.19859191912023,3.4640061217865445e-06,101.00000850240536,"[[824.2432250976562, 0.0, 0.0], [0.0, 824.2432250976562, 0.0], [300.0, 300.0, 1.0]]"
12,4.890738010406494,1.0395584106445312,2.0,68.19859874930941,6.830671189435836e-06,102.00000283840859,"[[824.2432250976562, 0.0, 0.0], [0.0, 824.2432250976562, 0.0], [300.0, 300.0, 1.0]]"
